Name,Manufacturer,Category,Placeholder (Sorted Category) ,Form Factor,Tags,Sorted Tags,Parent,Version,Format,Model,Plugin Notes,Instrument Notes,Recording Notes,Column 12,Column 13,Column 14,Column 15
VSM IV,GForce,"Synth, Strings, Pads & Textures","Pads & Textures, Strings, Synth","Plugin, Standalone",,,,1.0.0,"AU, VST3",,,"VSM (Virtual String Machine) Includes sounds from 46 classic and rare machines ARP: Omni, Omni II, Quartet, Quadra
Crumar: Multiman, Trilogy
Elka: Rhapsody (49 and 610), Streicher
Eminent/Solina: Eminent 310, Solina String Ensemble, Solina Stereo
Korg: PE-2000, Lambda
Logan: String Melody, String Melody II
Moog: Opus 3, Polymoog
Oberheim: OB-8, OB-12, Xpander
Roland: Juno 106, JP-6, JP-8000, RS-202, RS-505, VP-330
Yamaha: CE-25, CS-60, CS-80, GX-1, SK-15, SS-30, SY-2
Other/Rare: Clef, Elektronika, Farfisa, Firstman, Freeman String Symphonizer, Godwin, Hohner K4, Jen SX2007, Junost 21, Orchestron, Philicorda, Sequential Prelude, Teisco ",,,,,
Warm Tones,Spectrasonics,"Bass, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Synth","Bass, Guitars, Keyboards, Pads & Textures, Rhythm, Strings, Synth",,,,Omnisphere,,,,,,,,,,
Waterfall B3 Organ,Universal Audio,Keyboards,Keyboards,Plugin,Modeled,Modeled,,1.3.16,UADx,Hammond B-3 Organ,(1958),,,,,,
Wavestation,Korg,Synth,Synth,"Plugin, Standalone",Modeled,Modeled,,2.4.2,"AU, VST3",Korg Wavestation,,,,,,,
WaveWeaver,Native Instruments,Synth,Synth,,,,Reaktor,,,,,wavetable synth,,,,,
Weltmeister Basset,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,"Weltmeister Basset I
Weltmeister Basset II",,,,,,,
Weltmeister Claviset,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Weltmeister Claviset,,,,,,,
Wing Tack Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Wing & Son Upright Piano,,,,,,,
Wing Upgright Piano,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Wing & Son Tack Piano,,,,,,,
Wurli V3,Arturia,Keyboards,Keyboards,"Plugin, Standalone",Modeled,Modeled,,3.0.4.6366,"AU, VST3",Wurlitzer 200A,,,,,,,
Wurlitzer 140B,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Wurlitzer 140B,restored by Vintage Vibe,,,,,,
Wurlitzer 200A,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Wurlitzer 200A,,,,,,,
Yamaha CP-70,Spectrasonics,Keyboards,Keyboards,,Modeled,Modeled,"Keyscape, Omnisphere",,,Yamaha CP-70,,,,,,,
