Name,Manufacturer,Category,Sorted Category,Tags,Sorted Tags,Parent,Model,Series / Collection,Plugin Notes,Workflow Notes,Recording Notes,Form Factor,Format,Version,,,,,,,,,
H910 Dual Harmonizer,Eventide,"Delay, Modulation, Pitch, Spatial Imaging","Delay, Modulation, Pitch, Spatial Imaging",Modeled,Modeled,,Eventide H910,,dual channel,Eventide H910 TOP,,Plugin,"AU, VST3",3.12.4,,,,,,,,,
H910 Harmonizer,Eventide,"Delay, Modulation, Pitch","Delay, Modulation, Pitch",Modeled,Modeled,,Eventide H910,,single channel,Eventide H910 TOP,,Plugin,"AU, VST3",3.12.4,,,,,,,,,
H949 Dual Harmonizer,Eventide,"Delay, Modulation, Pitch, Spatial Imaging","Delay, Modulation, Pitch, Spatial Imaging",Modeled,Modeled,,Eventide H949,,dual channel,,,Plugin,"AU, VST3",3.12.4,,,,,,,,,
H949 Harmonizer,Eventide,"Delay, Modulation, Pitch","Delay, Modulation, Pitch",Modeled,Modeled,,Eventide H949,,single channel,,,Plugin,"AU, VST3",3.12.4,,,,,,,,,
Instant Flanger Mk II,Eventide,Modulation,Modulation,Modeled,Modeled,,Eventide Instant Flanger,,,,,Plugin,"AU, VST3",1.8.4,,,,,,,,,
Instant Phaser Mk II,Eventide,Modulation,Modulation,Modeled,Modeled,,Eventide Instant Phaser,,,,,Plugin,"AU, VST3",1.8.4,,,,,,,,,
MangledVerb,Eventide,Reverb & Room,Reverb & Room,,,,,,Feeds non-standard stereo reverb w/ tempo/tapped delay into distortion / overdrive,,,Plugin,"AU, VST3",2.10.4,,,,,,,,,
MicroPitch,Eventide,Pitch,Pitch,Voice,Voice,,,,"2 channels of fine-resolution pitch shift w/ 2 delays/slap-back for vocal doubling, tone fattening, unique delay",,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
Octavox,Eventide,Pitch,Pitch,,,,,,8 voice diatonic harmonizer based on pitch-shifting and delay,,,Plugin,"AU, VST3",3.11.5,,,,,,,,,
Omnipressor,Eventide,Dynamics,Dynamics,Modeled,Modeled,,Eventide Omnipressor,,,,,Plugin,"AU, VST3",3.12.4,,,,,,,,,
Physion Mk II,Eventide,"Delay, Dynamics, EQ, Modulation, Pitch, Reverb & Room","Delay, Dynamics, EQ, Modulation, Pitch, Reverb & Room",Mastering,Mastering,,,,"Production Toolkit that allows selective application of effects; STRUCTURAL SPLIT separates TRANSIENT + TONAL audio content 
[ Delay w/ modulation & feedback, Compressor/Limiter, Expander/Gate, Phaser, Chorus, Tremolo, Reverb, 3-band EQ ]",,,Plugin,"AU, VST3",1.3.4,,,,,,,,,
Quadrovox,Eventide,Pitch,Pitch,,,,,,4 voice diatonic harmonizer based on pitch-shifting and delay,,,Plugin,"AU, VST3",3.11.5,,,,,,,,,
